protein	cisonly	proposed_0.001	proposed_0.0005	proposed_0.0001	proposed_0.00005	proposed_0.00001	proposed_0.000005	proposed_0.000001
cardio2_IL16	0.0177538	0.04707474	0.05101725	0.0251015	0.03407264	0.02355303	0.0002864559	NA
cardio2_SORT1	0.01605222	0.01655659	0.02150094	0.02136604	0.02708867	0.006985739	0.006768564	0.0001038971
cardio2_CEACAM8	0.1215124	0.1034108	0.1262896	0.1124312	0.1184454	0.07759723	0.03275342	0.04995669
cardio2_PTX3	0.1823756	0.1161322	0.1126681	0.1454452	0.1503982	0.1477089	0.1533606	0.1821962
cardio2_PSGL.1	0.3329497	NA	0.3182803	0.3554443	0.3443534	0.3268609	0.3466869	0.3557528
cardio2_CCL17	0.001069061	NA	NA	NA	NA	NA	NA	0.0009861188
cardio2_CCL3	0.02352657	0.01305384	NA	0.006359843	0.01081634	0.07757587	0.1015843	0.1507287
cardio2_MMP7	NA	0.006686493	0.01079908	0.004402806	0.004167768	0.009185624	NA	NA
cardio2_IgG.Fc.receptor.II.b	0.5351987	0.5212837	0.5242286	0.5219094	0.5234239	0.5229943	0.5240271	0.5249727
cardio2_ITGB1BP2	0.008609293	NA	NA	0.001833078	0.004284158	NA	NA	NA
cardio2_DCN	0.003443179	NA	0.001352782	0.003154379	0.01637131	NA	NA	0.00299575
cardio2_Dkk.1	0.01735584	0.01746901	0.01703047	0.0001203842	NA	NA	NA	NA
cardio2_LPL	0.1321981	0.03202891	0.1012815	0.09395685	0.1042766	0.1354654	0.1300479	0.1362366
cardio2_PRSS8	0.1017794	0.1030872	0.1008739	0.08407525	0.07989402	0.05057811	0.04673122	0.0331886
cardio2_AGRP	0.07886656	0.1395137	0.1372491	0.1057164	0.09104816	0.08037974	0.08050867	0.03558863
cardio2_HB.EGF	0.0595022	0.05462065	0.05513461	0.06894631	0.05663067	0.06051103	0.04498346	0.02666617
cardio2_GDF.2	0.001800302	0.009193329	0.01093996	0.004761239	0.00191913	0.001695402	0.002034283	0.001066988
cardio2_FABP2	0.0108223	0.0004444293	0.0001423312	0.01607783	0.00808587	NA	0.0005213328	0.007140925
cardio2_THPO	0.001456264	0.0007943622	0.0001309107	NA	0.0001637903	NA	NA	NA
cardio2_MARCO	0.008100526	NA	NA	NA	NA	NA	0.002778837	NA
cardio2_GT	0.000120083	0.005988566	0.005060958	0.0031571	0.001820835	0.001391871	0.007748751	NA
cardio2_BNP	0.06707294	0.01842809	0.008619977	0.05211044	0.04342975	0.06075588	0.05721946	0.04535296
cardio2_MMP12	0.1413597	NA	0.00124426	0.008161076	0.03334045	0.05071616	0.1190276	NA
cardio2_ACE2	NA	NA	0.004490026	0.01410999	0.0111038	0.0001190011	0.0002780079	0.007510765
cardio2_PD.L2	0.1467694	0.2078171	0.1933855	0.1567039	0.1520828	0.2004241	0.1996237	0.213792
cardio2_CTSL1	0.004603651	0.003051011	NA	0.00121239	NA	0.000239516	NA	NA
cardio2_hOSCAR	0.1681019	0.1371773	0.1247304	0.1881399	0.1773775	0.2154288	0.164708	0.192929
cardio2_TNFRSF13B	NA	0.004183275	0.005271359	0.003988722	0.005062222	NA	NA	0.001739612
cardio2_TGM2	0.0004448693	0.013408	0.01836626	0.008920621	0.006503875	0.01348716	0.00332246	0.008633768
cardio2_LEP	0.03248888	0.04975718	0.03176498	0.02055563	0.01229593	0.009605195	0.0007694779	NA
cardio2_CA5A	0.2463486	0.201899	0.2086629	0.2105231	0.2156989	0.2097733	0.2117205	0.2131747
cardio2_HSP.27	0.07346256	NA	NA	0.003746044	NA	NA	0.001961283	NA
cardio2_CD4	0.1411335	0.004564528	0.0006941007	0.0009361311	NA	0.006309239	0.009661955	0.02049059
cardio2_NEMO	NA	NA	NA	NA	NA	0.0006317699	NA	NA
cardio2_VEGFD	0.1381584	NA	0.05202263	NA	NA	NA	NA	NA
cardio2_PARP.1	0.0009660038	0.0007960017	NA	NA	0.000504653	0.0001287882	0.0003029189	NA
cardio2_HAOX1	NA	NA	NA	NA	0.001194745	NA	0.001917444	NA
cardio3_TNFRSF14	0.006690136	0.01770767	0.01491866	0.01938328	0.02086484	0.004270077	0.003463585	0.002237231
cardio3_LDL.receptor	0.03431501	0.01988632	0.009333725	0.02107316	0.02737308	0.007982747	0.01287051	NA
cardio3_ITGB2	0.01142374	NA	0.004460848	0.001663647	0.0003577408	0.0007246911	0.0003881375	0.007335941
cardio3_IL.17RA	0.6553893	0.5457338	0.5650064	0.5718111	0.560082	0.5845247	0.5929858	0.5841912
cardio3_TNF.R2	0.001103559	0.0129255	0.01553569	0.01791142	0.01424401	0.002753594	0.0006563153	0.007138857
cardio3_MMP.9	0.004939332	0.009336295	0.01273233	0.02238437	0.02223952	0.0071044	0.007349416	0.001545834
cardio3_EPHB4	0.004688414	0.006070061	0.004947554	0.003689075	0.002363632	0.002466058	0.002666859	0.002175976
cardio3_IL2.RA	0.1533875	0.1595896	0.1914443	0.1625527	0.1594174	0.1614624	0.1554213	0.1852808
cardio3_OPG	0.00250188	0.006609872	0.003773756	0.005744386	0.007252578	0.0003716081	0.0007665524	NA
cardio3_ALCAM	0.0006321693	NA	NA	NA	NA	NA	NA	NA
cardio3_TFF3	0.004543493	NA	0.005489446	0.0007118639	NA	0.004016151	NA	NA
cardio3_SELP	0.0128924	NA	0.0001594369	NA	0.001761052	0.003604234	0.000626425	NA
cardio3_CSTB	0.07212537	0.03650176	0.05604889	0.1042349	NA	0.0001366258	0.0005413207	NA
cardio3_MCP.1	0.0348085	0.05377145	0.03616409	0.02889955	0.01728132	0.01897553	0.01668526	0.02010251
cardio3_CD163	NA	0.002522727	0.002545905	0.001104	0.005787684	0.0001965221	0.0002491573	NA
cardio3_Gal.3	0.090693	0.0996958	0.0962057	0.1163115	0.1221043	0.1240614	0.1288585	0.1335827
cardio3_GRN	0.005161439	0.08969881	0.08848063	0.03848435	0.02525153	0.09223098	0.09077244	0.09265631
cardio3_NT.proBNP	0.07241238	0.02152711	0.01335664	0.03761989	0.04436158	0.02802511	0.01584153	0.005367387
cardio3_BLM.hydrolase	0.1856258	0.1949745	0.1817547	0.1948384	NA	0.1899758	0.190863	0.1819164
cardio3_PLC	0.00672935	NA	0.0004600809	0.001687509	0.001687509	0.007095288	0.0009736357	NA
cardio3_LTBR	0.04064013	0.01628508	0.05085815	0.03779243	0.02737466	0.0191644	0.02278466	NA
cardio3_Notch.3	0.001102188	NA	0.0002036677	NA	0.001096833	0.0001834443	NA	NA
cardio3_TIMP4	0.0009104992	0.002415023	0.0006624486	0.001360009	0.001234796	0.00155079	NA	0.0006674915
cardio3_CNTN1	0.007573917	NA	0.004625985	0.01537776	0.04133727	0.0338805	0.03426484	0.03729777
cardio3_CDH5	NA	0.2638301	0.2597916	0.2876349	0.2911174	0.2849381	0.271598	0.271496
cardio3_TLT.2	0.08172958	0.0395509	0.04036161	0.03596299	0.04237134	0.03489308	0.02925144	0.01378245
cardio3_FABP4	0.0008626014	0.00104167	0.005325846	0.003793848	0.003236591	0.01078209	NA	NA
cardio3_TFPI	0.1002846	0.1134964	0.1237788	0.1222081	0.1145027	0.1193488	0.1193011	0.1237281
cardio3_PAI	0.04281789	0.03883668	0.05342165	0.05062848	0.05600954	0.05209941	0.04028645	NA
cardio3_CCL24	0.4701854	0.4120278	0.4119333	0.431969	0.4715136	0.483085	0.4825181	0.5031285
cardio3_TR	0.1502053	0.1298961	0.1238966	0.1342936	0.132566	0.1077691	0.1070476	0.1101872
cardio3_TNFRSF10C	0.04809343	0.2223395	0.1838283	0.2266893	0.2282532	0.2272266	0.2259067	0.2256667
cardio3_GDF.15	0.003738674	0.004483427	0.0001726332	0.003119789	NA	NA	NA	NA
cardio3_SELE	0.003635644	0.2724253	0.283033	0.2537844	0.2613958	0.274191	0.2728192	0.2693142
cardio3_AZU1	NA	NA	0.0001743468	0.0008362223	0.00158889	0.00103403	0.0006672589	NA
cardio3_DLK.1	0.09110836	0.1207305	0.1166823	0.1215918	NA	NA	0.1195116	0.02381461
cardio3_SPON1	0.008561968	0.001723291	0.004135451	NA	0.003462047	0.0001464285	0.001159505	NA
cardio3_MPO	0.008466791	0.004451482	NA	NA	NA	NA	0.008411354	NA
cardio3_CXCL16	0.05839117	0.06867359	0.07883569	0.06670924	0.0548157	0.02859186	0.007244365	NA
cardio3_IL.6RA	0.6022452	0.5853675	0.5756214	0.5900663	0.5875839	0.5851809	0.579339	0.5882511
cardio3_RETN	0.1450051	0.09521731	0.09800508	0.1587011	0.1727372	0.17158	0.1762875	0.1775815
cardio3_IGFBP.1	0.03969675	0.03027872	0.0372979	0.03578449	0.04777713	0.04155342	0.04460355	NA
cardio3_CHIT1	0.4508869	0.4047366	0.4319055	0.4094062	0.4210454	0.4521723	0.4477481	0.45223
cardio3_TR.AP	0.02117359	0.03670575	0.03195114	0.02668276	0.005040418	0.0009144384	0.004800848	0.01460517
cardio3_GP6	0.07123817	0.0001243426	NA	0.007357427	NA	0.005822267	0.002460867	NA
cardio3_PSP.D	0.2433121	0.2270533	0.2104937	0.2122615	0.2248354	0.1812176	0.1875124	0.189208
cardio3_PI3	0.001297767	0.007633154	0.0001769824	0.00487741	0.009976789	0.00982291	NA	0.005666975
cardio3_Ep.CAM	0.009011106	0.003413731	0.01159782	0.0191705	0.01084606	0.01856938	0.01771205	NA
cardio3_AP.N	0.01983516	0.01122539	0.02028319	0.03078416	0.02081011	0.02208318	0.02452586	NA
cardio3_AXL	NA	NA	0.0002293685	0.01407996	NA	NA	NA	NA
cardio3_IL.1RT1	NA	0.02028676	0.002022979	NA	NA	0.00197928	0.0002228372	NA
cardio3_MMP.2	0.007514435	NA	NA	NA	NA	0.003590813	NA	NA
cardio3_FAS	0.02084765	0.01645681	0.007359949	0.02778352	0.02443077	0.0124405	0.0110037	0.003472007
cardio3_MB	0.000363802	0.0009898453	NA	0.001710697	NA	NA	0.002662373	NA
cardio3_TNFSF13B	0.02409656	0.001824464	0.002781693	0.005208308	0.005872869	NA	0.0003038621	NA
cardio3_PRTN3	0.05379413	0.0287011	0.01828571	0.02266927	0.02338189	0.01728907	0.02976542	0.0001169375
cardio3_PCSK9	0.0125142	0.004211153	0.00372833	NA	0.0004112139	NA	NA	NA
cardio3_U.PAR	0.0003620307	NA	NA	NA	NA	NA	NA	NA
cardio3_OPN	0.02981184	0.0005664989	NA	NA	NA	NA	NA	NA
cardio3_CTSD	0.1582357	0.1052367	0.08665582	0.1052053	0.0862628	0.07569465	0.07099395	0.07601441
cardio3_PGLYRP1	0.04658119	0.02154894	0.01934587	0.01318904	0.01922518	0.009686747	0.006197854	0.01531854
cardio3_CPA1	0.004657462	0.01706396	0.01776951	0.01624755	0.01122256	NA	0.003123666	NA
cardio3_JAM.A	0.0003585889	0.000159073	0.005209347	0.005605482	NA	0.001715778	NA	NA
cardio3_Gal.4	0.01128251	0.05417172	NA	0.05767558	0.05848602	0.05990509	0.06024571	0.06066553
cardio3_IL.1RT2	0.221695	0.1420226	0.1537391	0.1822338	0.1773101	0.2108688	0.2064276	0.1996999
cardio3_SHPS.1	0.4832201	0.4757046	0.4757461	0.412586	0.4124021	0.4118428	0.4118428	0.4112372
cardio3_CCL15	0.4341991	0.3350004	0.3525699	0.3484738	0.3685034	0.3684879	0.3684879	0.3943004
cardio3_CASP.3	NA	0.003912727	0.006005727	0.007029779	0.009571128	0.002977791	NA	NA
cardio3_uPA	0.04075178	0.02447101	0.03467941	0.06064283	0.07960508	0.1407394	0.1360053	NA
cardio3_CPB1	0.01867275	0.03111671	0.01763288	0.02907742	0.03834234	0.01237816	0.006088292	0.00494444
cardio3_CHI3L1	0.2823587	0.2837005	0.2831843	NA	0.283414	0.2832386	0.2831704	0.2825535
cardio3_ST2	0.1486592	0.1399394	0.1294963	0.1460995	0.09208964	0.1411973	0.173238	0.1818401
cardio3_t.PA	NA	0.004670343	NA	0.007164865	0.003909086	0.001994984	0.002024449	NA
